trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.8, 'e': 0.28523783491910804}",20,3,27.085276945069086,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.2809592673953214}",25,11,8.526226623349467,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.27674487838439155}",25,13,9.731718167974561,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.2725937052086257}",25,15,3.6738858079093966,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.2685047996304963}",20,1,-5.17095532794214,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.26447722763603887}",25,13,-45.34320090451384,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.8, 'e': 0.2605100692214983}",30,12,7.8647498069346575,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.2566024181831758}",20,0,8.686080557822429,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
92,False,"{'a': 0.8, 'e': 0.2527533819104281}",20,11,18.667202090484064,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.2489620811817717}",30,21,0.6628618317572961,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.24522764996404514}",20,12,-27.533051025816356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.8, 'e': 0.24154923521458446}",30,23,7.7888880722565546,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.2379259966863657}",20,11,4.501949492029072,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.23435710673607021}",25,7,-30.940858075116303,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.8, 'e': 0.23084175013502914}",20,0,-93.69612504622677,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
99,False,"{'a': 0.8, 'e': 0.22737912388300371}",25,15,-1.0489888708781048,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.22396843702475863}",20,6,24.815934710762402,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.22060891046938727}",35,16,-15.850817598119452,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.8, 'e': 0.21729977681234644}",25,0,26.625401525213782,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.8, 'e': 0.21404028016016124}",20,0,1.888838864389999,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.21082967595775884}",20,3,12.115580813826448,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
