trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.8, 'e': 0.6332511891367891}",30,0,-19.882856551761122,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.6142536534626855}",25,4,-102.39784346308033,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 3}",1
18,False,"{'a': 0.8, 'e': 0.5958260438588049}",20,5,-15.285228851991217,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.5779512625430407}",25,0,-152.38685863466432,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.8, 'e': 0.5606127246667495}",25,0,-105.56065733078819,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.543794342926747}",30,12,-11.37663289232935,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.5274805126389446}",25,0,-9.018067740980374,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.5116560972597762}",30,0,-37.920477076736304,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.49630641434198286}",25,0,-110.49636371008773,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.48141722191172337}",20,0,-2.2548137158331745,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.4669747052543717}",20,0,-69.22232765852047,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.8, 'e': 0.4529654640967405}",20,0,13.268082144549174,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.4393765001738383}",20,9,-6.081067949114098,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.42619520516862314}",20,4,-43.73910813473303,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.8, 'e': 0.4134093490135644}",20,16,9.203065964112113,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.4010070685431575}",20,5,7.879593438559184,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.38897685648686275}",35,16,10.1736965190425,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.37730755079225686}",30,0,-79.25552191246152,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.36598832426848915}",20,10,-24.52474881432031,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.35500867454043444}",25,17,10.202758748389055,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.3443584143042214}",20,2,-40.37294079807324,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.8, 'e': 0.33402766187509475}",25,0,-67.78265793711189,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",1
38,False,"{'a': 0.8, 'e': 0.3240068320188419}",25,10,-11.291965619440653,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.31428662705827665}",20,14,1.029401326689832,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.30485802824652836}",25,13,2.689352562869016,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.29571228739913247}",20,13,-1.3007988147031013,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.2868409187771585}",30,19,12.737783072902644,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.2782356912138437}",25,12,-36.10604029663265,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.8, 'e': 0.2698886204774284}",20,2,-13.225831963311633,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.8, 'e': 0.26179196186310555}",20,7,5.463900198125299,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.25393820300721237}",20,0,5.723319525478456,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.246320056916996}",30,5,26.642459516143422,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.2389304552094861}",30,0,-45.36100958514475,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.8, 'e': 0.23176254155320153}",25,5,10.197543330388307,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.22480966530660546}",25,15,-23.4023362891,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.8, 'e': 0.2180653753474073}",20,14,9.842995256619204,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.21152341408698508}",20,0,29.00290154587517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.8, 'e': 0.2051777116643755}",20,9,19.35214421529955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.19902238031444425}",25,10,-5.556657009218564,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.19305170890501092}",20,15,9.518552124939937,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.18726015763786058}",25,10,9.390464402241646,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.18164235290872474}",20,13,11.41239975494399,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.176193082321463}",20,8,-19.84226118646577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
